generacion,optimal,avg,dominio
93,10105.0,10822.67,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
94,10105.0,10830.01,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
95,10105.0,10825.56,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
96,10105.0,10807.06,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
97,10105.0,10802.41,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
98,10105.0,10805.29,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
99,10105.0,10782.87,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
100,10105.0,10806.24,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
101,10105.0,10806.44,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
102,10105.0,10801.81,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
103,10105.0,10790.24,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
104,10105.0,10811.26,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
105,10105.0,10839.54,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
106,10105.0,10837.85,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
107,10105.0,10846.14,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
108,10105.0,10847.65,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
109,10105.0,10847.69,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
110,10105.0,10812.5,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
111,10105.0,10802.02,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
112,10105.0,10792.39,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
113,10105.0,10792.15,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
114,10105.0,10829.44,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
115,10105.0,10859.34,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
116,10105.0,10839.59,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
117,10105.0,10808.96,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
118,10105.0,10833.07,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
119,10105.0,10842.0,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
120,10105.0,10830.78,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
121,10105.0,10831.24,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
122,10105.0,10810.41,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
123,10105.0,10805.0,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
124,10105.0,10822.39,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
125,10105.0,10811.05,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
126,10105.0,10808.42,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
127,10105.0,10825.05,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
128,10105.0,10832.37,"[0.23622848 0.92699232 0.6204326  0.91962628 0.4207299  0.904559
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
